DeviceId,AssociationTimeSeconds
1388083455,5.52083
2719226280,3.61375
2210333647,4.41771
3911074052,3.91521
3262372767,3.51396
2108180232,11.5169
2860522657,4.21625
4084435556,4.31563
2396095435,4.81771
3821429517,7.21875
473877821,3.42167
665598295,4.11583
3933911772,3.41312
2924823457,5.42167
239509289,3.71479
3131232676,4.21646
253678657,6.01292
146844477,4.11563
18715253,8.91625
795636533,7.31917
407392516,3.5225
3237656979,4.015
36428997,3.41333
15797175,3.61313
1062678295,4.21687
3271401335,4.41729
1698625685,6.61521
1674689261,7.31896
3810548966,6.31396
1187413401,6.51583
