DeviceId,AssociationTimeSeconds
2814399755,18.215
2999336397,22.7129
1345954969,25.0219
2143018981,23.0142
1415016251,18.1146
2747229018,17.7227
2623053981,27.0208
804231453,26.8206
2605636925,8.4225
4261268103,8.12208
1196712936,18.2135
2423229745,22.9129
4041860025,13.1225
1521869552,22.7227
3154474346,32.8154
258987709,21.016
23580513,9.51896
4213374293,7.21917
2262413811,19.9213
3921123866,17.2196
2559784061,8.41438
626681036,15.3131
1385032346,25.0223
4158017780,23.3163
2455336488,25.3135
1202886547,35.1152
3131461514,11.3154
960000402,17.521
3376416544,4.61854
1044836251,10.7227
1914125763,13.3146
1568899101,30.5154
3216034597,10.6223
2418643728,20.3223
305653068,29.2194
2790257729,18.6165
811863861,13.214
1427528776,14.5198
2495567167,18.7165
3229757668,13.2129
1299970024,13.1138
3208434179,15.0206
894810547,21.4171
467943525,11.3156
3572133075,7.92229
1562235183,14.0177
3929322427,18.816
2641311096,17.8135
2441225773,10.9144
48224459,19.1175
1472792900,16.4175
2558477800,23.4165
4190000879,30.5158
988261229,8.41375
2860225609,16.3154
4118523183,10.6135
3008545989,13.2225
2878426581,13.5154
3347360708,15.1204
1604399453,10.6133
2619831781,19.1185
3711032275,10.6227
2808625784,20.4225
587748238,14.1181
866651859,23.7179
2428436632,4.01521
3760481453,10.8135
903495437,13.0227
1824875573,17.7129
3485431914,6.91813
1489811337,23.4158
2991570601,15.3219
2595957231,22.8129
2439417424,17.6215
1610737729,13.1227
1862276552,20.1225
47066847,10.5129
3248420068,22.8131
2491340150,24.7221
869552882,8.12146
1861541924,13.2142
1702142620,13.1138
4017189093,15.3225
3931850557,11.7167
4133384609,22.4223
3243219607,10.4219
2554047487,15.6142
1918068700,22.7133
3309636874,22.7225
4196440129,18.1148
3975338041,27.4135
2341096991,25.1219
1693370972,19.8198
895258803,18.1227
1047765904,29.2202
24656254,13.2225
4216773634,11.8179
1046255581,8.41417
2611172807,16.5167
1993231803,10.6225
3406533486,29.1198
3150261033,13.0129
1897773816,25.1135
2127151677,26.0175
970618196,9.61792
2850235828,10.5225
3708048474,13.0135
2226690158,22.2217
2972597696,17.8225
569310511,13.114
1428095952,20.4227
2088677752,8.51479
1793098187,12.8223
3477063696,10.9227
2376169990,3.91562
709721944,20.5148
3472521426,27.3223
2066868563,25.3138
2098781124,13.0225
2095689832,15.5138
963492824,9.71958
3202206138,13.0217
2028330390,12.9227
3226981176,15.4129
2477748829,13.0227
1226250245,19.5202
2145493767,15.8152
2849032135,25.0135
2662111324,10.3217
458619172,12.6213
2493713635,22.7133
2567084844,10.7138
3967287967,25.1131
2852450394,10.8227
533552783,17.6225
2024962881,28.2169
2292618973,8.42271
1974892675,16.8185
2938013840,20.4142
889762467,10.6227
1273267448,20.3223
371585470,15.815
4047114543,17.7219
3496676326,24.52
