DeviceId,AssociationTimeSeconds
3727997259,32.3138
1388083455,38.0171
2719226280,27.8152
3911074052,29.9129
3262372767,10.6133
2108180232,39.4133
2860522657,8.42271
4084435556,32.414
2396095435,34.7138
665598295,12.9225
2924823457,10.5225
239509289,37.1227
3131232676,42.616
253678657,8.21333
146844477,26.519
795636533,17.4219
407392516,5.92271
3237656979,17.4215
36428997,24.3192
1062678295,13.9173
3271401335,32.4225
1674689261,10.6225
3810548966,27.7135
1187413401,8.41292
3173775704,30.2146
1968618251,3.72271
1886844449,5.71313
3385334418,6.01375
2424951589,32.5144
1580280375,15.0219
2785474829,29.9129
1056693670,22.0206
4065349248,17.5202
3278902569,40.3163
1630048052,8.02125
184867759,10.7129
3909043344,27.7148
3497965172,8.11292
1968241543,8.12271
1560069274,6.0225
4292482244,12.7217
1051640963,24.2202
1868375475,19.7213
505550051,33.4181
3807173554,25.4152
4074190038,15.2221
1634367734,3.62271
4251346219,37.0217
3318746475,28.8194
1063711943,32.5227
2927981734,21.9206
681027873,19.8206
1695067035,3.62271
3492479441,15.121
1989945443,40.3171
3648608801,12.7219
10862979,31.1188
1187484391,10.5131
2980595082,5.72146
3087030703,8.32271
405230242,34.8227
955978282,32.3223
785517334,30.1142
1985185344,3.61438
3743145351,34.8142
